label,run_id,pass,total,pct
GPT-5.4-mini,seed42_150/agentic_repoflow_opencode_gpt54mini_606,93,150,62.0
GPT-5.4,seed42_150/agentic_repoflow_gpt54_seed42_150_20260623,101,150,67.33333333333333
Claude 4.6 Sonnet,seed42_150/agentic_repoflow_claude46_sonnet_seed42_150_20260623,91,150,60.666666666666664
