label,run_id,pass,total,pct
Original full run,seed42_150/agentic_repoflow_opencode_gpt54mini_606,93,150,62.0
Variation 1,seed42_150/agentic_repoflow_variation1_same_machine_opencode_gpt54mini_20260623,97,150,64.66666666666667
Variation 2,seed42_150/agentic_repoflow_variation2_free_machine_opencode_gpt54mini_20260623,95,150,63.333333333333336
