label,run_id,pass,total,pct
First cycle,seed42_150/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,63,150,42.0
Full run,seed42_150/agentic_repoflow_opencode_gpt54mini_606,93,150,62.0
Max-10 continuation,seed42_150/agentic_repoflow_max10_true_continuation_opencode_gpt54mini_20260624,97,150,64.66666666666667
