label,run_id,pass,total,pct
Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,375,594,63.13131313131313
Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,239,594,40.235690235690235
LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,163,594,27.44107744107744
migratelib,full_594/migratelib_gpt54mini,173,594,29.124579124579125
Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,120,594,20.2020202020202
