study,model,model_short,cycle_cap,cases,three_gate_pass,three_gate_accuracy_pct,text_token_cost_no_assistant_history_usd,text_token_cost_no_assistant_history_per_case_usd,text_token_cost_with_assistant_history_once_usd,text_token_cost_with_assistant_history_once_per_case_usd,prompt_tokens,tool_observation_tokens,assistant_text_tokens,tool_argument_tokens,derived_input_tokens_no_assistant_history,derived_input_tokens_with_assistant_history_once,derived_output_tokens,prompt_files,result_files,event_records,input_per_mtok_used,output_per_mtok_used,cost_method,cost_note
Agentic-RepoFlow GPT-5.4-mini max cycle 1,GPT-5.4-mini,GPT-5.4-mini,1,150,63,42.0000,4.22065500,0.02813770,4.26846300,0.02845642,242636,1912536,63744,514984,2155172,2218916,578728,156,156,11114,0.75,4.50,provider_neutral_text_token_proxy_from_recorded_prompts_tool_outputs_assistant_text_and_tool_arguments,"This is a reproducible text-derived cost proxy, not observed provider billing. It excludes provider prompt-cache read/write accounting and uses the same recorded-text token estimator across all models."
Agentic-RepoFlow GPT-5.4-mini max cycle 5,GPT-5.4-mini,GPT-5.4-mini,5,150,93,62.0000,13.49672100,0.08997814,13.61686350,0.09077909,1900321,5993809,160190,1523393,7894130,8054320,1683583,417,413,28816,0.75,4.50,provider_neutral_text_token_proxy_from_recorded_prompts_tool_outputs_assistant_text_and_tool_arguments,"This is a reproducible text-derived cost proxy, not observed provider billing. It excludes provider prompt-cache read/write accounting and uses the same recorded-text token estimator across all models."
Agentic-RepoFlow GPT-5.4-mini max cycle 10 true continuation,GPT-5.4-mini,GPT-5.4-mini,10,150,97,64.6667,18.62799750,0.12418665,18.79370850,0.12529139,2905268,8353126,220948,2042208,11258394,11479342,2263156,590,585,39944,0.75,4.50,provider_neutral_text_token_proxy_from_recorded_prompts_tool_outputs_assistant_text_and_tool_arguments,"This is a reproducible text-derived cost proxy, not observed provider billing. It excludes provider prompt-cache read/write accounting and uses the same recorded-text token estimator across all models."
