stage,repositories,migration_cases,removed_cases
downloaded_upstream_artifact,176,723,0
retrievable_repository_commits,175,716,7
baseline_reproducible,158,630,86
test_selection_applicable,154,606,24
published_comparison_dataset,151,594,12
